Galaxy,chi2_Quat,AIC_Quat,BIC_Quat,M_solar_Quat,rs_kpc_Quat,epsilon_Quat,chi2_LCDM,AIC_LCDM,BIC_LCDM,chi2_MOND,AIC_MOND,BIC_MOND,Best_Model
UGC00891_rotmod,417.2748774132171,423.2748774132171,422.1031911505194,17236277953.51435,19.702328036409057,4694.806881470371,393.6457615229657,401.6457615229657,400.0835131727021,59851.41712122662,59857.41712122662,59856.24543496392,LCDM
NGC1090_rotmod,4366.912955410884,4372.912955410884,4376.447116901928,99977446733.03345,10.65741233076993,4752.337046561728,1250.2792098969207,1258.2792098969207,1262.9914252183125,36951.729393138834,36957.729393138834,36961.26355462988,LCDM
NGC4051_rotmod,56.29898905069426,62.29898905069426,62.1367194978602,96625409016.66049,15.378180141950267,4822.124843927579,41.14050065649327,49.14050065649327,48.92414125271453,91.87031416738995,97.87031416738995,97.70804461455589,LCDM
NGC6503_rotmod,538.5636069760352,544.5636069760352,548.8655685894906,82538252034.03633,19.96366015188497,4751.971231112675,156.66573557812885,164.66573557812885,170.40168439606944,150175.47819252015,150181.47819252015,150185.78015413362,LCDM
UGC05414_rotmod,211.5669715940612,217.5669715940612,216.94225000174535,9469408652.94783,19.000095408088207,5324.348061516501,257.2645873214022,265.2645873214022,264.4316251983144,2285.010183450002,2291.010183450002,2290.385461857686,Quaternionic
NGC3917_rotmod,1519.0887388360597,1525.0887388360597,1527.5883788682283,71329028322.55478,19.91853604261869,5072.505914534186,1343.9069260055126,1351.9069260055126,1355.2397793817374,2686.753875699837,2692.753875699837,2695.253515732006,LCDM
D564-8_rotmod,385.4452763686751,391.4452763686751,390.82055477635924,28506986.51033836,3.1166596879215844,0.05020827392829005,228.3266651769003,236.3266651769003,235.4937030538125,14968.991360802167,14974.991360802167,14974.366639209851,LCDM
NGC3877_rotmod,440.6655381812625,446.6655381812625,448.3603862536471,99226638748.01648,14.775367397579146,5124.22183486627,351.3647024118671,359.3647024118671,361.62449984171326,132.47355111053878,138.47355111053878,140.1683991829234,MOND
F563-V1_rotmod,11.25854651809778,17.25854651809778,16.633824925781944,2554816415.9154024,16.301437531776358,4938.478194119352,17.469814198435607,25.469814198435607,24.636852075347825,2675.2662459395883,2681.2662459395883,2680.6415243472725,Quaternionic
DDO154_rotmod,145157.9409380949,145163.9409380949,145165.39565804426,52029785.759304404,3.0568533076483453,0.05071791153008512,110838.10411849183,110846.10411849183,110848.04374509098,1256565.781843306,1256571.781843306,1256573.2365632553,LCDM
UGC08699_rotmod,575.8544980977856,581.8544980977856,586.9952142978985,99893752457.8472,9.31412681994263,4920.352632938063,86.34391160435074,94.34391160435074,101.19819987116797,2687.310196004648,2693.310196004648,2698.4509122047607,LCDM
NGC3972_rotmod,418.2410359434155,424.2410359434155,425.1487912223977,58410189592.56277,19.684270718723862,5188.160618197655,388.68798733191306,396.68798733191306,397.89832770388927,296.6677212565969,302.6677212565969,303.57547653557907,MOND
DDO161_rotmod,2129.8133667486163,2135.8133667486163,2140.115328362072,20528804355.130745,19.95926294204716,4987.724301206189,1904.8257095042577,1912.8257095042577,1918.5616583221984,203454.20863548966,203460.20863548966,203464.51059710313,LCDM
